date,time,location,opponent
04/06/16,07:10PM,cin,phi
04/07/16,12:35PM,cin,phi
04/08/16,07:10PM,cin,phi
04/09/16,01:10PM,cin,pit
04/10/16,01:10PM,cin,pit
04/11/16,08:05PM,chc,chc
04/13/16,08:05PM,chc,chc
04/14/16,08:05PM,chc,chc
04/15/16,08:15PM,stl,stl
04/16/16,02:15PM,stl,stl
04/17/16,02:15PM,stl,stl
04/18/16,07:10PM,cin,col
04/19/16,07:10PM,cin,col
04/20/16,12:35PM,cin,col
04/21/16,07:10PM,cin,chc
04/22/16,07:10PM,cin,chc
04/23/16,07:10PM,cin,chc
04/24/16,01:10PM,cin,chc
04/25/16,07:10PM,nym,nym
04/26/16,07:10PM,nym,nym
04/27/16,07:10PM,nym,nym
04/29/16,07:05PM,pit,pit
04/30/16,07:05PM,pit,pit
05/01/16,01:35PM,pit,pit
05/02/16,07:10PM,cin,sf
05/03/16,07:10PM,cin,sf
05/04/16,12:35PM,cin,sf
05/05/16,07:10PM,cin,mil
05/06/16,07:10PM,cin,mil
05/07/16,07:10PM,cin,mil
05/08/16,01:10PM,cin,mil
05/09/16,07:10PM,cin,pit
05/10/16,07:10PM,cin,pit
05/11/16,07:10PM,cin,pit
05/13/16,07:05PM,phi,phi
05/14/16,07:05PM,phi,phi
05/15/16,01:35PM,phi,phi
05/16/16,06:10PM,cle,cle
05/17/16,06:10PM,cle,cle
05/18/16,07:10PM,cin,cle
05/19/16,07:10PM,cin,cle
05/20/16,07:10PM,cin,sea
05/21/16,04:10PM,cin,sea
05/22/16,01:10PM,cin,sea
05/23/16,10:10PM,lad,lad
05/24/16,10:10PM,lad,lad
05/25/16,10:10PM,lad,lad
05/27/16,08:10PM,mil,mil
05/28/16,04:10PM,mil,mil
05/29/16,02:10PM,mil,mil
05/30/16,04:10PM,col,col
05/31/16,08:40PM,col,col
06/01/16,08:40PM,col,col
06/02/16,08:40PM,col,col
06/03/16,07:10PM,cin,was
06/04/16,04:10PM,cin,was
06/05/16,01:10PM,cin,was
06/07/16,07:10PM,cin,stl
06/08/16,07:10PM,cin,stl
06/09/16,07:10PM,cin,stl
06/10/16,07:10PM,cin,oak
06/11/16,04:10PM,cin,oak
06/12/16,01:10PM,cin,oak
06/13/16,07:10PM,atl,atl
06/14/16,07:10PM,atl,atl
06/15/16,07:10PM,atl,atl
06/16/16,12:10PM,atl,atl
06/17/16,08:10PM,hou,hou
06/18/16,04:10PM,hou,hou
06/19/16,02:10PM,hou,hou
06/21/16,08:05PM,tex,tex
06/22/16,08:05PM,tex,tex
06/23/16,07:10PM,cin,sd
06/24/16,07:10PM,cin,sd
06/25/16,04:10PM,cin,sd
06/26/16,01:10PM,cin,sd
06/27/16,07:10PM,cin,chc
06/28/16,07:10PM,cin,chc
06/29/16,12:35PM,cin,chc
06/30/16,07:05PM,was,was
07/01/16,06:05PM,was,was
07/02/16,07:15PM,was,was
07/03/16,01:35PM,was,was
07/04/16,02:20PM,chc,chc
07/05/16,02:20PM,chc,chc
07/06/16,02:20PM,chc,chc
07/08/16,07:10PM,mia,mia
07/09/16,04:10PM,mia,mia
07/10/16,01:10PM,mia,mia
07/12/16,08:00PM,sd,allstar
07/15/16,07:10PM,cin,mil
07/16/16,07:10PM,cin,mil
07/17/16,01:10PM,cin,mil
07/18/16,07:10PM,cin,atl
07/19/16,07:10PM,cin,atl
07/20/16,12:35PM,cin,atl
07/22/16,07:10PM,cin,ari
07/23/16,07:10PM,cin,ari
07/24/16,01:10PM,cin,ari
07/25/16,10:15PM,sf,sf
07/26/16,10:15PM,sf,sf
07/27/16,03:45PM,sf,sf
07/29/16,10:40PM,sd,sd
07/30/16,08:40PM,sd,sd
07/31/16,04:40PM,sd,sd
08/02/16,07:10PM,cin,stl
08/03/16,07:10PM,cin,stl
08/04/16,12:35PM,cin,stl
08/05/16,07:05PM,pit,pit
08/06/16,07:05PM,pit,pit
08/07/16,01:35PM,pit,pit
08/08/16,08:15PM,stl,stl
08/09/16,08:15PM,stl,stl
08/10/16,07:15PM,stl,stl
08/12/16,08:10PM,mil,mil
08/13/16,07:10PM,mil,mil
08/14/16,02:10PM,mil,mil
08/15/16,07:10PM,cin,mia
08/16/16,07:10PM,cin,mia
08/17/16,07:10PM,cin,mia
08/18/16,07:10PM,cin,mia
08/19/16,07:10PM,cin,lad
08/20/16,07:10PM,cin,lad
08/21/16,01:10PM,cin,lad
08/22/16,12:35PM,cin,lad
08/23/16,07:10PM,cin,tex
08/24/16,07:10PM,cin,tex
08/26/16,09:40PM,ari,ari
08/27/16,08:10PM,ari,ari
08/28/16,04:10PM,ari,ari
08/29/16,10:05PM,laa,laa
08/30/16,10:05PM,laa,laa
08/31/16,07:05PM,laa,laa
09/02/16,07:10PM,cin,stl
09/03/16,04:10PM,cin,stl
09/04/16,01:10PM,cin,stl
09/05/16,01:10PM,cin,nym
09/06/16,07:10PM,cin,nym
09/07/16,12:35PM,cin,nym
09/08/16,07:05PM,pit,pit
09/09/16,07:05PM,pit,pit
09/10/16,07:05PM,pit,pit
09/11/16,01:35PM,pit,pit
09/12/16,07:10PM,cin,mil
09/13/16,07:10PM,cin,mil
09/14/16,07:10PM,cin,mil
09/16/16,07:10PM,cin,pit
09/17/16,04:10PM,cin,pit
09/18/16,01:10PM,cin,pit
09/19/16,08:05PM,chc,chc
09/20/16,08:05PM,chc,chc
09/21/16,08:05PM,chc,chc
09/23/16,08:10PM,mil,mil
09/24/16,07:10PM,mil,mil
09/25/16,02:10PM,mil,mil
09/26/16,08:15PM,stl,stl
09/27/16,08:15PM,stl,stl
09/28/16,08:15PM,stl,stl
09/29/16,07:15PM,stl,stl
09/30/16,07:10PM,cin,chc
10/01/16,04:10PM,cin,chc
10/02/16,03:10PM,cin,chc
