date,time,opponent,location
03/28/2019,04:10PM,pit,cin
03/30/2019,02:10PM,pit,cin
03/31/2019,01:10PM,pit,cin
04/01/2019,06:40PM,mil,cin
04/02/2019,06:40PM,mil,cin
04/03/2019,12:35PM,mil,cin
04/04/2019,07:05PM,pit,pit
04/05/2019,07:05PM,pit,pit
04/06/2019,01:35PM,pit,pit
04/07/2019,01:35PM,pit,pit
04/09/2019,06:40PM,mia,cin
04/10/2019,06:40PM,mia,cin
04/11/2019,12:35PM,mia,cin
04/15/2019,10:10PM,lad,lad
04/16/2019,10:10PM,lad,lad
04/17/2019,03:10PM,lad,lad
04/18/2019,10:10PM,sd,sd
04/19/2019,10:10PM,sd,sd
04/20/2019,08:40PM,sd,sd
04/21/2019,04:10PM,sd,sd
04/23/2019,06:40PM,atl,cin
04/24/2019,06:40PM,atl,cin
04/25/2019,06:40PM,atl,cin
04/26/2019,08:15PM,stl,stl
04/27/2019,02:15PM,stl,stl
04/28/2019,02:15PM,stl,stl
04/29/2019,07:10PM,nym,nym
04/30/2019,07:10PM,nym,nym
05/01/2019,07:10PM,nym,nym
05/02/2019,12:10PM,nym,nym
05/03/2019,07:10PM,sf,cin
05/04/2019,07:10PM,sf,cin
05/05/2019,04:10PM,sf,cin
05/06/2019,12:35PM,sf,cin
05/07/2019,10:07PM,oak,oak
05/08/2019,10:07PM,oak,oak
05/09/2019,03:37PM,oak,oak
05/10/2019,10:15PM,sf,sf
05/11/2019,09:05PM,sf,sf
05/12/2019,04:05PM,sf,sf
05/14/2019,06:40PM,chc,cin
05/15/2019,06:40PM,chc,cin
05/16/2019,06:40PM,chc,cin
05/17/2019,07:10PM,lad,cin
05/18/2019,04:10PM,lad,cin
05/19/2019,01:10PM,lad,cin
05/21/2019,07:40PM,mil,mil
05/22/2019,01:10PM,mil,mil
05/24/2019,02:20PM,chc,chi
05/25/2019,02:20PM,chc,chi
05/26/2019,02:20PM,chc,chi
05/27/2019,02:10PM,pit,cin
05/28/2019,06:40PM,pit,cin
05/29/2019,12:35PM,pit,cin
05/31/2019,07:10PM,was,cin
06/01/2019,04:10PM,was,cin
06/02/2019,01:10PM,was,cin
06/04/2019,08:15PM,stl,stl
06/05/2019,08:15PM,stl,stl
06/06/2019,01:15PM,stl,stl
06/07/2019,07:05PM,phi,phi
06/08/2019,04:05PM,phi,phi
06/09/2019,01:05PM,phi,phi
06/11/2019,07:10PM,cle,cle
06/12/2019,01:10PM,cle,cle
06/14/2019,07:10PM,tex,cin
