date,time,opponent,location
03/28/2020,02:10PM,stl,cin
03/29/2020,01:10PM,stl,cin
03/30/2020,07:07PM,tor,tor
03/31/2020,07:07PM,tor,tor
04/01/2020,04:07PM,tor,tor
04/02/2020,01:35PM,pit,pit
04/04/2020,01:35PM,pit,pit
04/05/2020,01:35PM,pit,pit
04/06/2020,06:40PM,mil,cin
04/07/2020,06:40PM,mil,cin
04/09/2020,06:40PM,phi,cin
04/10/2020,07:10PM,phi,cin
04/11/2020,04:10PM,phi,cin
04/12/2020,01:10PM,phi,cin
04/14/2020,06:40PM,sf,cin
04/15/2020,06:40PM,sf,cin
04/16/2020,12:35PM,sf,cin
04/17/2020,07:05PM,nyy,nyy
04/18/2020,01:05PM,nyy,nyy
04/19/2020,01:05PM,nyy,nyy
04/20/2020,07:45PM,stl,stl
04/21/2020,07:45PM,stl,stl
04/22/2020,01:15PM,stl,stl
04/24/2020,07:10PM,ari,cin
04/25/2020,04:10PM,ari,cin
04/26/2020,02:10PM,ari,cin
04/27/2020,06:40PM,atl,cin
04/28/2020,06:40PM,atl,cin
04/29/2020,12:35PM,atl,cin
05/01/2020,07:05PM,was,was
05/02/2020,01:05PM,was,was
05/03/2020,01:35PM,was,was
05/04/2020,07:10PM,nym,nym
05/05/2020,07:10PM,nym,nym
05/06/2020,12:10PM,nym,nym
05/07/2020,08:40PM,col,col
05/08/2020,08:40PM,col,col
05/09/2020,08:10PM,col,col
05/10/2020,03:10PM,col,col
05/11/2020,06:40PM,mia,cin
05/12/2020,06:40PM,mia,cin
05/13/2020,12:35PM,mia,cin
05/14/2020,06:40PM,mil,cin
05/15/2020,07:10PM,mil,cin
05/16/2020,01:10PM,mil,cin
05/17/2020,01:10PM,mil,cin
05/19/2020,06:10PM,cle,cle
05/20/2020,01:10PM,cle,cle
05/22/2020,07:10PM,sd,cin
05/23/2020,04:10PM,sd,cin
05/24/2020,01:10PM,sd,cin
05/25/2020,02:10PM,sd,cin
05/26/2020,06:40PM,pit,cin
05/27/2020,06:40PM,pit,cin
05/28/2020,12:35PM,pit,cin
05/29/2020,02:20PM,chc,chw
05/30/2020,02:20PM,chc,chw
05/31/2020,02:20PM,chc,chw
06/01/2020,08:05PM,chc,chw
06/02/2020,07:05PM,pit,pit
06/03/2020,07:05PM,pit,pit
06/04/2020,07:10PM,chc,cin
